t,plant,axis,phytomer
117.000000,1,MS,6
118.000000,1,MS,1
118.000000,1,MS,2
118.000000,1,MS,3
118.000000,1,MS,4
118.000000,1,MS,5
118.000000,1,MS,6
119.000000,1,MS,1
119.000000,1,MS,2
119.000000,1,MS,3
119.000000,1,MS,4
119.000000,1,MS,5
119.000000,1,MS,6
120.000000,1,MS,1
120.000000,1,MS,2
120.000000,1,MS,3
120.000000,1,MS,4
120.000000,1,MS,5
120.000000,1,MS,6
121.000000,1,MS,1
121.000000,1,MS,2
121.000000,1,MS,3
121.000000,1,MS,4
121.000000,1,MS,5
121.000000,1,MS,6
122.000000,1,MS,1
122.000000,1,MS,2
122.000000,1,MS,3
122.000000,1,MS,4
122.000000,1,MS,5
122.000000,1,MS,6
123.000000,1,MS,1
123.000000,1,MS,2
123.000000,1,MS,3
123.000000,1,MS,4
123.000000,1,MS,5
123.000000,1,MS,6
124.000000,1,MS,1
124.000000,1,MS,2
124.000000,1,MS,3
124.000000,1,MS,4
124.000000,1,MS,5
124.000000,1,MS,6
125.000000,1,MS,1
125.000000,1,MS,2
125.000000,1,MS,3
125.000000,1,MS,4
125.000000,1,MS,5
125.000000,1,MS,6
126.000000,1,MS,1
126.000000,1,MS,2
126.000000,1,MS,3
126.000000,1,MS,4
126.000000,1,MS,5
126.000000,1,MS,6
127.000000,1,MS,1
127.000000,1,MS,2
127.000000,1,MS,3
127.000000,1,MS,4
127.000000,1,MS,5
127.000000,1,MS,6
128.000000,1,MS,1
128.000000,1,MS,2
128.000000,1,MS,3
128.000000,1,MS,4
128.000000,1,MS,5
128.000000,1,MS,6
129.000000,1,MS,1
129.000000,1,MS,2
129.000000,1,MS,3
129.000000,1,MS,4
129.000000,1,MS,5
129.000000,1,MS,6
130.000000,1,MS,1
130.000000,1,MS,2
130.000000,1,MS,3
130.000000,1,MS,4
130.000000,1,MS,5
130.000000,1,MS,6
131.000000,1,MS,1
131.000000,1,MS,2
131.000000,1,MS,3
131.000000,1,MS,4
131.000000,1,MS,5
131.000000,1,MS,6
132.000000,1,MS,1
132.000000,1,MS,2
132.000000,1,MS,3
132.000000,1,MS,4
132.000000,1,MS,5
132.000000,1,MS,6
133.000000,1,MS,1
133.000000,1,MS,2
133.000000,1,MS,3
133.000000,1,MS,4
133.000000,1,MS,5
133.000000,1,MS,6
134.000000,1,MS,1
134.000000,1,MS,2
134.000000,1,MS,3
134.000000,1,MS,4
134.000000,1,MS,5
134.000000,1,MS,6
135.000000,1,MS,1
135.000000,1,MS,2
135.000000,1,MS,3
135.000000,1,MS,4
135.000000,1,MS,5
135.000000,1,MS,6
136.000000,1,MS,1
136.000000,1,MS,2
136.000000,1,MS,3
136.000000,1,MS,4
136.000000,1,MS,5
136.000000,1,MS,6
137.000000,1,MS,1
137.000000,1,MS,2
137.000000,1,MS,3
137.000000,1,MS,4
137.000000,1,MS,5
137.000000,1,MS,6
138.000000,1,MS,1
138.000000,1,MS,2
138.000000,1,MS,3
138.000000,1,MS,4
