t,plant,axis,Total_transpiration
898.000000,1,MS,0.000725
899.000000,1,MS,0.000725
900.000000,1,MS,0.000727
901.000000,1,MS,0.000727
902.000000,1,MS,0.000746
903.000000,1,MS,0.000746
904.000000,1,MS,0.000342
905.000000,1,MS,0.000342
906.000000,1,MS,0.000351
907.000000,1,MS,0.000351
908.000000,1,MS,0.000044
909.000000,1,MS,0.000044
910.000000,1,MS,0.000031
911.000000,1,MS,0.000031
912.000000,1,MS,0.000017
913.000000,1,MS,0.000017
914.000000,1,MS,0.000013
915.000000,1,MS,0.000013
916.000000,1,MS,0.000023
917.000000,1,MS,0.000023
918.000000,1,MS,0.000157
919.000000,1,MS,0.000157
920.000000,1,MS,0.000241
921.000000,1,MS,0.000241
922.000000,1,MS,0.000423
923.000000,1,MS,0.000423
924.000000,1,MS,0.000262
925.000000,1,MS,0.000262
926.000000,1,MS,0.000346
