t,plant,axis,volume,Tsoil,nitrates,Conc_Nitrates_Soil
276.000000,1,MS,1.000000,15.000000,4678.027577,4678.027577
277.000000,1,MS,1.000000,15.000000,4464.223891,4464.223891
278.000000,1,MS,1.000000,15.000000,4258.190347,4258.190347
279.000000,1,MS,1.000000,15.000000,4059.840142,4059.840142
280.000000,1,MS,1.000000,15.000000,3868.959658,3868.959658
281.000000,1,MS,1.000000,15.000000,3685.423862,3685.423862
282.000000,1,MS,1.000000,15.000000,3508.997629,3508.997629
283.000000,1,MS,1.000000,15.000000,3339.609797,3339.609797
284.000000,1,MS,1.000000,15.000000,3177.080060,3177.080060
285.000000,1,MS,1.000000,15.000000,3021.299818,3021.299818
286.000000,1,MS,1.000000,15.000000,2872.066538,2872.066538
287.000000,1,MS,1.000000,15.000000,2729.244731,2729.244731
288.000000,1,MS,1.000000,15.000000,2592.617534,2592.617534
289.000000,1,MS,1.000000,15.000000,2462.007935,2462.007935
290.000000,1,MS,1.000000,15.000000,2337.173450,2337.173450
291.000000,1,MS,1.000000,15.000000,2217.964460,2217.964460
292.000000,1,MS,1.000000,15.000000,2104.168845,2104.168845
293.000000,1,MS,1.000000,15.000000,1995.612764,1995.612764
294.000000,1,MS,1.000000,15.000000,1892.071951,1892.071951
295.000000,1,MS,1.000000,15.000000,1828.473136,1828.473136
296.000000,1,MS,1.000000,15.000000,1732.694500,1732.694500
297.000000,1,MS,1.000000,15.000000,1641.394565,1641.394565
298.000000,1,MS,1.000000,15.000000,1554.370604,1554.370604
299.000000,1,MS,1.000000,15.000000,1471.479773,1471.479773
300.000000,1,MS,1.000000,15.000000,1392.543328,1392.543328
301.000000,1,MS,1.000000,15.000000,1317.410607,1317.410607
302.000000,1,MS,1.000000,15.000000,1245.902085,1245.902085
303.000000,1,MS,1.000000,15.000000,1177.913296,1177.913296
304.000000,1,MS,1.000000,15.000000,1113.307446,1113.307446
305.000000,1,MS,1.000000,15.000000,1051.965221,1051.965221
306.000000,1,MS,1.000000,15.000000,993.742303,993.742303
307.000000,1,MS,1.000000,15.000000,938.505784,938.505784
308.000000,1,MS,1.000000,15.000000,886.104744,886.104744
309.000000,1,MS,1.000000,15.000000,836.426999,836.426999
310.000000,1,MS,1.000000,15.000000,789.342489,789.342489
311.000000,1,MS,1.000000,15.000000,744.740684,744.740684
